0,1,2,3,4,5,6,7,8,9
　, ,"发明
      Invention", ,"实用新型
      Utility Model", ,"外观设计
      Design", ,"合计
      Total", 
"数量
      Number","构成
      %","数量
      Number","构成
      %","数量
      Number","构成
      %","数量
      Number","构成
      %",,
"合计
      Total","受理量
      Application",4327819,33.1%,4629895,35.4%,4135824,31.6%,13093538,100.0%
"授权量
  Grant",1318659,17.8%,3385236,45.6%,2722115,36.7%,7426010,100.0%,
"有效量*
      In Force ",1033908,24.6%,1936787,46.2%,1224442,29.2%,4195137,100.0%,
"国内
      Domestic","受理量
      Application",3084208,26.5%,4595941,39.5%,3966599,34.1%,11646748,89.0%
"授权量
  Grant",735863,11.0%,3357509,50.4%,2566600,38.5%,6659972,89.7%,
"有效量
In Force",585767,16.1%,1917317,52.7%,1132505,31.2%,3635589,86.7%,
"国外
      Foreign","受理量
      Application",1243611,86.0%,33954,2.3%,169225,11.7%,1446790,11.0%
"授权量
  Grant",582796,76.1%,27727,3.6%,155515,20.3%,766038,10.3%,
"有效量
In Force",448141,80.1%,19470,3.5%,91937,16.4%,559548,13.3%,
