0,1,2,3,4,5,6,7,8,9
　, ,"发明
      Invention", ,"实用新型
      Utility Model", ,"外观设计
      Design", ,"合计
      Total", 
"数量
      Number","构成
      %","数量
      Number","构成
      %","数量
      Number","构成
      %","数量
      Number","构成
      %",,
"合计
      Total","受理量
      Application",7696363,35.4%,8101960,37.3%,5919782,27.3%,21718105,100.0%
"授权量
  Grant",2315411,19.0%,5872756,48.1%,4012485,32.9%,12200652,100.0%,
"有效量*
      In Force ",1772203,28.2%,3154485,50.2%,1358550,21.6%,6285238,100.0%,
"国内
      Domestic","受理量
      Application",6058575,30.6%,8045003,40.6%,5698457,28.8%,19802035,91.2%
"授权量
  Grant",1464115,13.2%,5823249,52.5%,3807868,34.3%,11095232,90.9%,
"有效量
In Force",1158203,21.0%,3118410,56.4%,1250570,22.6%,5527183,87.9%,
"国外
      Foreign","受理量
      Application",1637788,85.5%,56957,3.0%,221325,11.6%,1916070,8.8%
"授权量
  Grant",851296,77.0%,49507,4.5%,204617,18.5%,1105420,9.1%,
"有效量
In Force",614000,81.0%,36075,4.8%,107980,14.2%,758055,12.1%,
